,title,place,communityName,unit_price,total_price,room,area
0,雍翠华府 2室1厅 270万,罗湖区,雍翠华府,60962.0,270.0,2室1厅,44.29平米
1,新阁小区，视野开阔，户型方正实用，无遮挡,福田区,新阁小区,46230.0,160.0,1室0厅,34.61平米
2,碧清园 2室1厅 360万,罗湖区,碧清园,56783.0,360.0,2室1厅,63.4平米
3,世界金融中 心B座的公寓，深南大道上出行方便,罗湖区,世界金融中心,54739.0,350.0,2室1厅,63.94平米
4,时尚新居  标准一房一厅  南向中高层 红本在手,罗湖区,时尚新居,46096.0,170.0,1室1厅,36.88平米
5,香诗美林 2室2厅 670万,福田区,香诗美林,83396.0,670.0,2室2厅,80.34平米
6,湖彬苑 3室2厅 720万,南山区,湖彬苑,80610.0,720.0,3室2厅,89.32平米
7,龙都花园 3室2厅 580万,南山区,龙都花园,53630.0,580.0,3室2厅,108.15平米
8,东埔海景花园一期 3室2厅 550万,盐田区,东埔海景花园一期,46973.0,550.0,3室2厅,117.09平米
9,平湖低总价大两房 满二年 业主诚心出售,龙岗区,南油花园,33467.0,235.0,2室2厅,70.22平米
10,东都雅苑 2室2厅 272万,龙岗区,东都雅苑,33350.0,272.0,2室2厅,81.56平米
11,正兆景嘉园 3室2厅 338万,光明新区,正兆景嘉园,38145.0,338.0,3室2厅,88.61平米
12,金众云山栖 2室1厅 220万,大鹏新区,金众云山栖,35657.0,220.0,2室1厅,61.7平米
13,KPR佳兆业广场 1室1厅 125万,大鹏新区,KPR佳兆业广场,27958.0,125.0,1室1厅,44.71平米
14,KPR佳兆业广场 1室1厅 148万,大鹏新区,KPR佳兆业广场,29541.0,148.0,1室1厅,50.1平米
15,KPR佳兆业广场 1室0厅 140万,大鹏新区,KPR佳兆业广场,31167.0,140.0,1室0厅,44.92平米
16,KPR佳兆业广场 2室2厅 310万,大鹏新区,KPR佳兆业广场,38220.0,310.0,2室2厅,81.11平米
17,葵涌海边 独栋3层别墅 只要788万元,大鹏新区,东丽观海山庄,26059.0,788.0,4室2厅,302.4平米
18,PURE33璞岸 5室3厅 1250万,大鹏新区,PURE33璞岸,35856.0,1250.0,5室3厅,348.62平米
19,大鹏KPR佳兆业广场公寓两房低楼层光线充足,大鹏新区,KPR佳兆业广场,30356.0,230.0,2室2厅,75.77平米
20,德华花园 3室2厅 208万,大鹏新区,德华花园,26023.0,208.0,3室2厅,79.93平米
21,PURE33璞岸 1室1厅 208万,大鹏新区,PURE33璞岸,32324.0,208.0,1室1厅,64.35平米
22,KPR佳兆业广场 1室1厅 125万,大鹏新区,KPR佳兆业广场,27940.0,125.0,1室1厅,44.74平米
23,精装一房一厅，360度看一线海景，环境好，高品质楼盘,大鹏新区,金海滩,45923.0,250.0,1室1厅,54.44平米
24,金众云山栖 5室2厅 1800万,大鹏新区,金众云山栖,84890.0,1800.0,5室2厅,212.04平米
25,精装两房，卧室客厅兼备阳台，小区环境优美,大鹏新区,KPR佳兆业广场,27716.0,210.0,2室1厅,75.77平米
26,万科十七英里 3室2厅 600万,大鹏新区,万科十七英里,63871.0,600.0,3室2厅,93.94平米
27,KPR佳兆业广场 1室2厅 168万,大鹏新区,KPR佳兆业广场,29335.0,168.0,1室2厅,57.27平米
28,KPR佳兆业广场 2室2厅 155万,大鹏新区,KPR佳兆业广场,32874.0,155.0,2室2厅,47.15平米
29,带装修公寓，好出租，生活配套齐全,光明新区,宏发嘉域,26521.0,150.0,1室1厅,56.56平米
30,光明峰荟 3室2厅 400万,光明新区,光明峰荟,44909.0,400.0,3室2厅,89.07平米
31,电梯高层   大平层5房   南北通风  有钥匙  户型好,光明新区,光明峰荟,39641.0,520.0,5室2厅,131.18平米
32,南星大厦 4室2厅 310万,光明新区,南星大厦,25553.0,310.0,4室2厅,121.32平米
33,2015年新小区.精装修两房，电梯高楼层视野好.,光明新区,光明峰荟,44617.0,300.0,2室2厅,67.24平米
34,光明1号 3室2厅 335万,光明新区,光明1号,40091.0,335.0,3室2厅,83.56平米
35,2015年的新小区 小区环境优美 地铁口6号线,光明新区,光明峰荟,39282.0,350.0,3室2厅,89.1平米
36,正兆景嘉园 3室2厅 360万,光明新区,正兆景嘉园,40509.0,360.0,3室2厅,88.87平米
37,宏发嘉域 3室2厅 375万,光明新区,宏发嘉域,43253.0,375.0,3室2厅,86.7平米
38,宏发上域 1室1厅 210万,光明新区,宏发上域,46297.0,210.0,1室1厅,45.36平米
39,光明1号 3室2厅 350万,光明新区,光明1号,41887.0,350.0,3室2厅,83.56平米
40,宏发雍景城 2室2厅 340万,光明新区,宏发雍景城,41754.0,340.0,2室2厅,81.43平米
41,"光明大第舒适社区,南北通透4+1房，诚意出售",光明新区,光明大第,47250.0,670.0,4室2厅,141.8平米
42,光明1号 1室1厅 168万,光明新区,光明1号,35132.0,168.0,1室1厅,47.82平米
43,宏发嘉域带装修公寓，首付五成。,光明新区,宏发嘉域,30615.0,140.0,1室1厅,45.73平米
44,光明1号 3室2厅 370万,光明新区,光明1号,45545.0,370.0,3室2厅,81.24平米
45,光明1号 3室2厅 368万,光明新区,光明1号,45293.0,368.0,3室2厅,81.25平米
46,光明1号 3室2厅 360万,光明新区,光明1号,43516.0,360.0,3室2厅,82.73平米
47,2015年电梯新小区  业主诚心出售  户型方正,光明新区,光明峰荟,37418.0,525.0,5室2厅,140.31平米
48,光明1号 3室2厅 380万,光明新区,光明1号,42977.0,380.0,3室2厅,88.42平米
49,光明一号  实用三房 朝南向 户型方正通透,光明新区,光明1号,43077.0,350.0,3室2厅,81.25平米
50,满5年唯一！通透户型！双阳台！朝南户型！,光明新区,宏发雍景城,38485.0,390.0,3室2厅,101.34平米
51,此房满五年 一手业主 南北通 采光好 户型方正,光明新区,宏发美域,47010.0,900.0,6室4厅,191.45平米
52,光明一号高楼层朝花园的四房，改善型住宅,光明新区,光明1号,39037.0,475.0,4室2厅,121.68平米
53,平湖特力商厦大三房户型方正公摊面积小,龙岗区,平湖特力商厦,28260.0,300.0,3室2厅,106.16平米
54,端头位置5层联排别墅   满三年   房屋前后带花园户型,龙岗区,御峰园,44826.0,820.0,5室2厅,182.93平米
55,佳兆业茗翠园实用复式毛坯房业主很诚心出售。,龙岗区,佳兆业茗萃园二期,60338.0,450.0,2室1厅,74.58平米
56,方正实用电梯一房一卫，红本在手税少，采光通风好,龙岗区,东都雅苑,37563.0,180.0,1室0厅,47.92平米
57,融湖一期高楼层 6房大户型 视野好 业主诚心出售,龙岗区,融湖中心城一期,40622.0,750.0,6室2厅,184.63平米
58,平湖满庭芳复式带电梯6房，顶楼复式三层使用楼房,龙岗区,满庭芳,24181.0,500.0,6室2厅,206.78平米
59,满五年精装大两房 税费少 凤凰山脚下看山景,龙岗区,御峰园,37972.0,295.0,2室2厅,77.69平米
60,华侨城四海锦园三房看花园，满两年视野好无遮挡,龙岗区,华侨城四海锦园,38444.0,336.0,3室2厅,87.4平米
61,佳兆业茗萃园一期 3室2厅 430万,龙岗区,佳兆业茗萃园一期,38989.0,430.0,3室2厅,110.29平米
62,佳兆业茗萃园二期 3室2厅 355万,龙岗区,佳兆业茗萃园二期,33691.0,355.0,3室2厅,105.37平米
63,熙璟城 3室2厅 340万,龙岗区,熙璟城,40984.0,340.0,3室2厅,82.96平米
64,平吉上苑 3室2厅 354万,龙岗区,平吉上苑,40518.0,354.0,3室2厅,87.37平米
65,融湖中心城一期 3室2厅 395万,龙岗区,融湖中心城一期,45268.0,395.0,3室2厅,87.26平米
66,平湖融湖世纪花园城朝南两房精装修，高楼层视野好,龙岗区,融湖中心城一期,43491.0,310.0,2室2厅,71.28平米
67,佳兆业茗萃园一期 4室4厅 385万,龙岗区,佳兆业茗萃园一期,33599.0,385.0,4室4厅,114.59平米
68,平吉上苑 5室2厅 460万,龙岗区,平吉上苑,37032.0,460.0,5室2厅,124.22平米
69,佳兆业茗萃园三期 2室2厅 340万,龙岗区,佳兆业茗萃园三期,40095.0,340.0,2室2厅,84.8平米
70,瀚海翠庭 5室2厅 1280万,盐田区,瀚海翠庭,63170.0,1280.0,5室2厅,202.63平米
71,东埔海景花园三期 4室2厅 1350万,盐田区,东埔海景花园三期,70328.0,1350.0,4室2厅,191.96平米
72,倚山花园三期 3室2厅 500万,盐田区,倚山花园三期,57039.0,500.0,3室2厅,87.66平米
73,蓝郡左岸 5室2厅 1650万,盐田区,蓝郡左岸,97260.0,1650.0,5室2厅,169.65平米
74,诗宁里小区 3室1厅 400万,盐田区,诗宁里小区,49851.0,400.0,3室1厅,80.24平米
75,海山道1号 1室1厅 240万,盐田区,海山道1号,50548.0,240.0,1室1厅,47.48平米
76,碧海花园 4室2厅 430万,盐田区,碧海花园,35969.0,430.0,4室2厅,119.55平米
77,东和海韵园 3室2厅 650万,盐田区,东和海韵园,54659.0,650.0,3室2厅,118.92平米
78,东和大厦 1室0厅 70万,盐田区,东和大厦,32066.0,70.0,1室0厅,21.83平米
79,昊海君悦 1室1厅 150万,盐田区,昊海君悦,38581.0,150.0,1室1厅,38.88平米
80,碧桐湾 1室1厅 170万,盐田区,碧桐湾,44679.0,170.0,1室1厅,38.05平米
81,倚山花园三期 3室2厅 690万,盐田区,倚山花园三期,49802.0,690.0,3室2厅,138.55平米
82,海山道1号 2室1厅 400万,盐田区,海山道1号,50859.0,400.0,2室1厅,78.65平米
83,昊海君悦 2室1厅 170万,盐田区,昊海君悦,35820.0,170.0,2室1厅,47.46平米
84,侨城北塘朗山下三房 业主诚心卖 红本在手税费少,南山区,桃源村一期,57135.0,410.0,3室2厅,71.76平米
85,宝珠花园 3室2厅 495万,南山区,宝珠花园,57352.0,495.0,3室2厅,86.31平米
86,桃源村三期 3室1厅 530万,南山区,桃源村三期,63748.0,530.0,3室1厅,83.14平米
87,俊峰丽舍 3室2厅 750万,南山区,俊峰丽舍,75211.0,750.0,3室2厅,99.72平米
88,万科品牌 地铁物业 精装两房 中间楼层  急卖,南山区,万科云城,84646.0,570.0,2室1厅,67.34平米
89,龙辉花园 3室2厅 450万,南山区,龙辉花园,51766.0,450.0,3室2厅,86.93平米
90,郁金香家园带70平私家露台 可种花种菜 居家养生好地方,南山区,郁金香家园,103313.0,920.0,3室2厅,89.05平米
91,桃源村三期 3室2厅 495万,南山区,桃源村三期,61074.0,495.0,3室2厅,81.05平米
92,朗苑 2室2厅 380万,南山区,朗苑,71577.0,380.0,2室2厅,53.09平米
93,俊峰丽舍 2室1厅 510万,南山区,俊峰丽舍,69540.0,510.0,2室1厅,73.34平米
94,塘朗雅苑 5室2厅 900万,南山区,塘朗雅苑,105696.0,900.0,5室2厅,85.15平米
95,桃源村二期 4室2厅 800万,南山区,桃源村二期,62117.0,800.0,4室2厅,128.79平米
96,7号线龙井站 城市假日花园 大三房 南北通透 位置安静,南山区,城市假日花园,75140.0,700.0,3室2厅,93.16平米
97,龙都名园 2室1厅 450万,南山区,龙都名园,65020.0,450.0,2室1厅,69.21平米
98,龙辉花园 3室1厅 480万,南山区,龙辉花园,51387.0,480.0,3室1厅,93.41平米
99,塘朗雅苑 2室1厅 405万,南山区,塘朗雅苑,71028.0,405.0,2室1厅,57.02平米
100,中爱花园 1室1厅 340万,南山区,中爱花园,64139.0,340.0,1室1厅,53.01平米
101,顶楼送200多平大花园 龙都花园复试5房 珠光地铁站,南山区,龙都花园,64758.0,1400.0,5室3厅,216.19平米
102,龙辉花园南向三房 小区安静中间楼层  地铁7号线珠光站,南山区,龙辉花园,52936.0,458.0,3室2厅,86.52平米
103,欧陆经典 一梯二户  南北通  顶楼复式,南山区,欧陆经典,100442.0,750.0,5室2厅,74.67平米
104,朗苑 2室2厅 450万,南山区,朗苑,56145.0,450.0,2室2厅,80.15平米
105,地铁7号线 一楼复式 满五年红本 税费少,南山区,城市假日花园,127857.0,1600.0,7室2厅,125.14平米
106,佳兆业香瑞园南区  商铺出售 住宅楼下 小区环境好,南山区,佳兆业香瑞园二期,80218.0,472.0,1室1厅,58.84平米
107,桃源村一期 3室2厅 421万,南山区,桃源村一期,59887.0,421.0,3室2厅,70.3平米
108,桃源村三期 3室1厅 543万,南山区,桃源村三期,61204.0,543.0,3室1厅,88.72平米
109,华侨城 城市假日 精装修复式 通透户型,南山区,城市假日花园,100338.0,1100.0,5室2厅,109.63平米
110,十五峯花园 3室1厅 800万,南山区,十五峯花园,91670.0,800.0,3室1厅,87.27平米
111,万科云城 3室2厅 800万,南山区,万科云城,86787.0,800.0,3室2厅,92.18平米
112,皇庭香格里花园 1室1厅 320万,南山区,皇庭香格里花园,72073.0,320.0,1室1厅,44.4平米
113,桃源村二期 3室2厅 485万,南山区,桃源村二期,52028.0,485.0,3室2厅,93.22平米
114,七号线  龙井站  三层复式  看房方便  税费少  南北通,南山区,欧陆经典,80659.0,950.0,5室2厅,117.78平米
115,俊峰丽舍 3室2厅 688万,南山区,俊峰丽舍,64306.0,688.0,3室2厅,106.99平米
116,留仙洞总部基地 万科精装公寓 40年产权  正规南向二房,南山区,万科云城,90586.0,610.0,2室2厅,67.34平米
117,桃源村三期 3室2厅 555万,南山区,桃源村三期,62192.0,555.0,3室2厅,89.24平米
118,湖彬苑 1室2厅 335万,南山区,湖彬苑,72527.0,335.0,1室2厅,46.19平米
119,俊峰丽舍 107平米三房双卫 安静通透 满五红本税费少,南山区,俊峰丽舍,64499.0,690.0,3室1厅,106.98平米
120,七号线深云站 香瑞园南向5房 安静看花园 采光好,南山区,佳兆业香瑞园二期,161502.0,1360.0,5室1厅,84.21平米
121,龙福苑 4室2厅 720万,南山区,龙福苑,60252.0,720.0,4室2厅,119.5平米
122,7号线桃源村站 俊峰丽舍 三房二厅 繁华地段 闹中取静,南山区,俊峰丽舍,65722.0,700.0,3室1厅,106.51平米
123,西丽 珠光站 龙都名园电梯3房,南山区,龙都名园,57484.0,520.0,3室2厅,90.46平米
124,7号线龙井站 赠送多 四房 南北通透户型 适宜居家,南山区,城市假日花园,75100.0,700.0,4室2厅,93.21平米
125,看山景四居室 高楼层  满五唯一 红本在手,南山区,塘朗雅苑,81291.0,660.0,4室1厅,81.19平米
126,四房两卫大入户花园，居住合适，安静舒适，看房联系,南山区,龙联花园,57266.0,560.0,4室2厅,97.79平米
127,宝珠花园 3室1厅 530万,南山区,宝珠花园,61550.0,530.0,3室1厅,86.11平米
128,丽苑阁 2室2厅 430万,南山区,丽苑阁,52963.0,430.0,2室2厅,81.19平米
129,龙都花园 4室2厅 608万,南山区,龙都花园,53133.0,608.0,4室2厅,114.43平米
130,桃源村一期 3室2厅 400万,南山区,桃源村一期,55742.0,400.0,3室2厅,71.76平米
131,俊峰丽舍 3室1厅 600万,南山区,俊峰丽舍,68958.0,600.0,3室1厅,87.01平米
132,鼎胜山邻居 3室2厅 510万,南山区,鼎胜山邻居,68938.0,510.0,3室2厅,73.98平米
133,越海家园 1室1厅 330万,福田区,越海家园,69738.0,330.0,1室1厅,47.32平米
134,建业小区南区 3室2厅 730万,福田区,建业小区南区,122875.0,730.0,3室2厅,59.41平米
135,金海燕花园 5室3厅 1900万,福田区,金海燕花园,73919.0,1900.0,5室3厅,257.04平米
136,宝能公馆 3室2厅 1750万,福田区,宝能公馆,128866.0,1750.0,3室2厅,135.8平米
137,金海燕花园 4室2厅 1100万,福田区,金海燕花园,86519.0,1100.0,4室2厅,127.14平米
138,带装修 户型实用 没人住过 配套成熟,福田区,宝能公馆,122704.0,1730.0,4室2厅,140.99平米
139,风临左岸 3室2厅 1200万,福田区,风临左岸,128756.0,1200.0,3室2厅,93.2平米
140,越众小区 中高层二房二厅正南向 近公园 近地铁！,福田区,越众小区,78877.0,500.0,2室2厅,63.39平米
141,东南向 精装修三房 买来拎包入住 看房方便,福田区,碧海云天二期,107798.0,1330.0,3室2厅,123.38平米
142,越海家园总价低两房 特殊户型带平台 业主诚售,福田区,越海家园,80006.0,599.0,2室2厅,74.87平米
143,宝能公馆 5室2厅 2080万,福田区,宝能公馆,130925.0,2080.0,5室2厅,158.87平米
144,宝能公馆 4室2厅 1766万,福田区,宝能公馆,130045.0,1766.0,4室2厅,135.8平米
145,宝能公馆 精装3房 南向高层看海景和园博园 新装全齐,福田区,宝能公馆,134788.0,1100.0,3室1厅,81.61平米
146,新浩城花园二期，地铁无缝对接，深南大道，270度观景,福田区,新浩城花园,87904.0,1550.0,4室2厅,176.33平米
147,福田区一手毛坯房 安静高层大平层 产权清晰 好看房,福田区,蝴蝶谷名苑,162087.0,4500.0,6室3厅,277.63平米
148,越海家园 1室1厅 305万,福田区,越海家园,65437.0,305.0,1室1厅,46.61平米
149,雅福居 精装3房2卫 双地铁口物业 带深高学、位,福田区,雅福居,111570.0,1000.0,3室2厅,89.63平米
150,越海家园 高楼层 精装修 看海景 小区安静 生态宜居,福田区,越海家园,78357.0,900.0,3室2厅,114.86平米
151,香山美树苑，精装修三房朝南业主自住，安静采光通风好,福田区,香山美树苑,121860.0,1300.0,3室2厅,106.68平米
152,安静住宅三房公园旁 东南朝向采光好,福田区,创意侨园,98156.0,1320.0,3室1厅,134.48平米
153,莲花阁 3室2厅 450万,罗湖区,莲花阁,50274.0,450.0,3室2厅,89.51平米
154,富达花园 1室1厅 255万,罗湖区,富达花园,54221.0,255.0,1室1厅,47.03平米
155,梧桐山新居 2室1厅 380万,罗湖区,梧桐山新居,64947.0,380.0,2室1厅,58.51平米
